组合	个数
(0, 259, 260), (0, 450, 450), (280, 320, 320)	0
(0, 259, 260), (0, 320, 450), (300, 320, 410)	0
(0, 260, 320), (0, 320, 450), (280, 300, 410)	0
(0, 280, 450), (110, 300, 410), (259, 260, 450)	0
(0, 110, 320), (0, 300, 450), (280, 320, 450)	0
(110, 300, 450), (259, 280, 410), (260, 320, 450)	0
(0, 110, 300), (0, 320, 450), (259, 280, 450)	0
(110, 320, 410), (260, 320, 450), (280, 300, 450)	0
(0, 0, 450), (259, 280, 300), (260, 320, 450)	0
(0, 0, 410), (259, 260, 450), (300, 320, 450)	0
(0, 0, 450), (110, 320, 450), (259, 260, 280)	0
(0, 110, 280), (0, 260, 410), (259, 320, 450)	0
(0, 410, 450), (259, 280, 320), (260, 300, 450)	0
(0, 259, 450), (0, 260, 300), (110, 320, 410)	0
(0, 280, 410), (110, 259, 320), (300, 320, 450)	0
(110, 450, 450), (259, 280, 410), (300, 320, 320)	0
(0, 320, 450), (110, 260, 280), (259, 320, 450)	0
(0, 320, 450), (110, 300, 320), (259, 260, 450)	0
(0, 0, 410), (110, 300, 450), (280, 320, 450)	0
(0, 260, 320), (0, 300, 320), (110, 450, 450)	0
(0, 300, 450), (110, 259, 260), (320, 320, 410)	0
(0, 410, 450), (110, 260, 300), (320, 320, 450)	0
(0, 259, 410), (110, 450, 450), (280, 320, 320)	0
(0, 110, 320), (0, 300, 410), (280, 320, 450)	0
(0, 450, 450), (110, 320, 410), (260, 300, 320)	0
(0, 300, 410), (110, 280, 320), (259, 320, 450)	0
(0, 0, 450), (110, 300, 320), (259, 260, 450)	0
(0, 259, 280), (0, 260, 320), (110, 450, 450)	0
(0, 410, 450), (110, 300, 450), (259, 320, 320)	0
(0, 260, 300), (110, 320, 450), (259, 320, 450)	0
(0, 259, 450), (110, 260, 320), (280, 320, 410)	0
(0, 259, 260), (110, 320, 320), (280, 300, 410)	0
(0, 280, 450), (0, 300, 320), (110, 259, 450)	0
(0, 0, 110), (260, 320, 450), (300, 320, 450)	0
(0, 0, 410), (259, 300, 450), (280, 320, 450)	0
(0, 110, 410), (0, 300, 320), (280, 320, 450)	0
(0, 259, 260), (0, 280, 450), (300, 320, 320)	0
(0, 110, 450), (259, 260, 280), (320, 320, 410)	0
(0, 260, 280), (110, 320, 450), (300, 320, 450)	0
(0, 280, 450), (0, 300, 410), (110, 259, 260)	0
(0, 0, 259), (110, 260, 450), (280, 300, 450)	0
(0, 110, 450), (259, 260, 320), (280, 320, 450)	0
(0, 110, 450), (0, 260, 320), (259, 280, 410)	0
(0, 0, 410), (110, 260, 450), (320, 320, 450)	0
(0, 110, 320), (0, 260, 450), (259, 320, 450)	0
(0, 260, 300), (110, 320, 450), (280, 320, 450)	0
(0, 259, 280), (0, 260, 450), (110, 300, 450)	0
(0, 260, 450), (110, 300, 450), (320, 320, 410)	0
(0, 260, 450), (110, 320, 410), (259, 300, 450)	0
(110, 300, 450), (259, 320, 410), (280, 320, 450)	0
(0, 0, 410), (110, 259, 450), (280, 300, 450)	0
(0, 280, 450), (0, 300, 410), (110, 320, 320)	0
(0, 260, 300), (0, 320, 450), (259, 280, 450)	0
(0, 260, 450), (0, 300, 320), (110, 280, 410)	0
(0, 259, 320), (110, 300, 450), (260, 280, 410)	0
(0, 260, 280), (259, 300, 450), (320, 320, 450)	0
(0, 320, 320), (110, 259, 300), (260, 280, 450)	0
(0, 300, 450), (0, 320, 410), (260, 320, 450)	0
(0, 260, 320), (110, 280, 450), (259, 320, 410)	0
(0, 0, 259), (110, 450, 450), (260, 300, 320)	0
(0, 300, 410), (0, 450, 450), (110, 280, 320)	0
(0, 110, 260), (0, 320, 450), (280, 300, 410)	0
(0, 260, 450), (110, 259, 320), (280, 300, 450)	0
(0, 0, 450), (110, 280, 410), (260, 300, 320)	0
(0, 320, 410), (110, 320, 450), (259, 260, 300)	0
(0, 0, 450), (110, 259, 450), (260, 280, 320)	0
(0, 0, 110), (259, 280, 450), (260, 320, 410)	0
(0, 320, 450), (110, 280, 300), (260, 320, 410)	0
(0, 260, 450), (0, 300, 410), (110, 280, 450)	0
(0, 110, 259), (0, 300, 450), (320, 320, 450)	0
(110, 410, 450), (259, 260, 450), (300, 320, 320)	0
(0, 259, 280), (110, 300, 410), (320, 320, 450)	0
(0, 110, 450), (0, 259, 410), (280, 300, 320)	0
(0, 0, 320), (110, 450, 450), (259, 280, 300)	0
(0, 259, 410), (0, 280, 450), (260, 300, 450)	0
(0, 320, 410), (110, 300, 320), (259, 260, 450)	0
(0, 0, 280), (110, 320, 450), (260, 300, 410)	0
(0, 110, 280), (0, 300, 410), (320, 320, 450)	0
(0, 259, 300), (110, 280, 410), (260, 320, 320)	0
(0, 0, 410), (259, 260, 450), (280, 300, 450)	0
(110, 450, 450), (259, 260, 280), (300, 320, 320)	0
(0, 280, 410), (110, 450, 450), (300, 320, 320)	0
(0, 320, 410), (110, 300, 450), (259, 260, 450)	0
(0, 450, 450), (260, 300, 410), (280, 320, 320)	0
(0, 410, 450), (110, 320, 320), (259, 300, 450)	0
(110, 300, 410), (259, 320, 450), (260, 320, 450)	0
(0, 0, 110), (259, 260, 410), (320, 320, 450)	0
(0, 110, 260), (0, 450, 450), (259, 280, 410)	0
(0, 110, 450), (0, 260, 300), (259, 320, 450)	0
(0, 110, 280), (0, 259, 450), (260, 320, 450)	0
(0, 259, 450), (110, 260, 280), (300, 320, 450)	0
(0, 0, 450), (110, 320, 320), (259, 280, 410)	0
(0, 259, 260), (110, 410, 450), (280, 300, 320)	0
(0, 0, 320), (259, 280, 450), (260, 300, 450)	0
(0, 110, 259), (0, 280, 450), (260, 300, 450)	0
(110, 410, 450), (259, 280, 320), (260, 300, 320)	0
(0, 280, 410), (0, 450, 450), (110, 259, 300)	0
(0, 110, 259), (0, 410, 450), (300, 320, 320)	0
(0, 259, 280), (0, 300, 450), (110, 410, 450)	0
(0, 259, 280), (0, 320, 410), (110, 300, 450)	0
(0, 280, 320), (0, 410, 450), (110, 260, 450)	0
(0, 110, 450), (259, 280, 320), (260, 320, 450)	0
(0, 280, 410), (259, 300, 450), (260, 320, 450)	0
(0, 450, 450), (110, 260, 410), (259, 320, 320)	0
(0, 259, 260), (0, 320, 450), (300, 320, 450)	0
(0, 259, 260), (0, 300, 320), (110, 410, 450)	0
(0, 0, 259), (280, 320, 450), (300, 320, 410)	0
(0, 280, 450), (0, 410, 450), (110, 260, 300)	0
(0, 280, 300), (110, 260, 450), (320, 320, 450)	0
(0, 260, 320), (0, 280, 300), (259, 320, 450)	0
(0, 320, 320), (0, 410, 450), (259, 260, 280)	0
(0, 410, 450), (110, 280, 300), (259, 320, 320)	0
(259, 300, 450), (260, 280, 450), (320, 320, 410)	0
(0, 320, 320), (0, 410, 450), (280, 300, 450)	0
(110, 280, 300), (259, 320, 410), (260, 320, 450)	0
(0, 300, 450), (0, 320, 450), (259, 280, 410)	0
(0, 259, 450), (0, 260, 320), (280, 300, 320)	0
(0, 259, 410), (110, 300, 320), (260, 280, 320)	0
(0, 259, 280), (110, 320, 410), (260, 320, 450)	0
(0, 0, 410), (110, 260, 450), (259, 280, 300)	0
(0, 280, 450), (0, 300, 450), (260, 320, 410)	0
(0, 320, 450), (110, 280, 320), (259, 260, 410)	0
(0, 450, 450), (110, 280, 410), (260, 300, 320)	0
(0, 300, 450), (110, 320, 450), (260, 320, 410)	0
(0, 110, 300), (259, 260, 450), (280, 320, 320)	0
(0, 110, 450), (0, 280, 410), (259, 260, 300)	0
(0, 450, 450), (259, 260, 410), (280, 300, 320)	0
(0, 320, 410), (259, 280, 450), (260, 320, 450)	0
(0, 280, 450), (0, 320, 450), (260, 300, 410)	0
(0, 0, 300), (110, 280, 410), (259, 320, 450)	0
(0, 260, 450), (0, 300, 320), (259, 280, 450)	0
(110, 300, 450), (259, 320, 450), (260, 320, 410)	0
(110, 450, 450), (259, 260, 300), (280, 320, 320)	0
(0, 0, 450), (259, 300, 410), (260, 280, 320)	0
(110, 259, 320), (260, 280, 450), (300, 320, 410)	0
(0, 259, 280), (0, 260, 410), (320, 320, 450)	0
(0, 320, 450), (110, 260, 300), (259, 280, 410)	0
(0, 300, 450), (0, 320, 450), (259, 320, 410)	0
(0, 110, 450), (0, 320, 450), (280, 320, 410)	0
(0, 110, 450), (0, 260, 300), (259, 280, 410)	0
(0, 0, 110), (259, 320, 410), (280, 320, 450)	0
(0, 110, 410), (259, 320, 450), (300, 320, 450)	0
(0, 110, 300), (0, 450, 450), (260, 280, 410)	0
(0, 0, 450), (259, 320, 410), (260, 280, 300)	0
(0, 110, 280), (259, 260, 450), (300, 320, 450)	0
(0, 0, 450), (110, 259, 450), (260, 320, 410)	0
(0, 260, 450), (110, 280, 450), (300, 320, 410)	0
(0, 280, 320), (110, 259, 450), (300, 320, 450)	0
(0, 280, 450), (110, 260, 410), (300, 320, 320)	0
(0, 320, 320), (0, 410, 450), (110, 300, 450)	0
(0, 259, 280), (0, 300, 450), (110, 320, 450)	0
(110, 280, 320), (259, 320, 450), (260, 300, 410)	0
(0, 260, 320), (0, 450, 450), (110, 280, 410)	0
(0, 320, 450), (110, 259, 320), (280, 300, 450)	0
(0, 0, 410), (110, 259, 300), (320, 320, 450)	0
(0, 110, 260), (259, 320, 450), (280, 320, 450)	0
(0, 0, 110), (280, 300, 450), (320, 320, 450)	0
(0, 0, 410), (259, 300, 450), (280, 320, 320)	0
(0, 410, 450), (110, 320, 450), (260, 280, 300)	0
(0, 0, 410), (110, 300, 450), (259, 260, 280)	0
(0, 259, 260), (0, 280, 410), (110, 450, 450)	0
(0, 300, 450), (110, 259, 410), (280, 320, 450)	0
(0, 260, 410), (280, 300, 450), (320, 320, 450)	0
(0, 259, 320), (110, 410, 450), (260, 280, 450)	0
(0, 259, 450), (0, 320, 450), (110, 280, 410)	0
(0, 320, 450), (260, 300, 410), (280, 320, 450)	0
(0, 0, 450), (259, 280, 450), (260, 300, 320)	0
(0, 259, 320), (0, 300, 320), (260, 280, 450)	0
(0, 260, 300), (0, 280, 450), (110, 259, 450)	0
(0, 0, 450), (259, 320, 410), (300, 320, 450)	0
(0, 259, 450), (110, 410, 450), (280, 320, 320)	0
(0, 320, 450), (259, 260, 410), (300, 320, 450)	0
(0, 0, 110), (259, 320, 450), (260, 320, 450)	0
(0, 300, 450), (110, 259, 320), (260, 320, 410)	0
(0, 320, 450), (110, 260, 410), (300, 320, 450)	0
(0, 259, 260), (0, 320, 450), (110, 300, 410)	0
(0, 110, 450), (0, 260, 280), (259, 300, 450)	0
(0, 260, 300), (110, 320, 410), (259, 280, 450)	0
(0, 450, 450), (110, 300, 410), (280, 320, 320)	0
(0, 300, 450), (110, 280, 320), (259, 260, 320)	0
(0, 260, 300), (0, 450, 450), (110, 259, 410)	0
(0, 259, 450), (0, 260, 320), (110, 410, 450)	0
(0, 320, 410), (110, 260, 280), (259, 300, 450)	0
(0, 260, 450), (110, 280, 450), (320, 320, 410)	0
(0, 300, 320), (0, 410, 450), (110, 280, 320)	0
(0, 260, 410), (0, 320, 450), (110, 259, 320)	0
(0, 110, 320), (0, 260, 410), (300, 320, 450)	0
(0, 0, 280), (259, 300, 450), (260, 320, 410)	0
(0, 110, 450), (0, 320, 450), (260, 300, 410)	0
(110, 450, 450), (259, 260, 300), (280, 320, 410)	0
(0, 259, 450), (0, 300, 450), (110, 320, 410)	0
(0, 320, 410), (259, 300, 320), (260, 280, 450)	0
(0, 280, 320), (110, 260, 450), (259, 300, 320)	0
(0, 110, 450), (0, 300, 410), (259, 320, 320)	0
(0, 110, 259), (0, 300, 410), (260, 320, 450)	0
(0, 0, 280), (110, 320, 450), (259, 320, 410)	0
(0, 259, 320), (0, 300, 410), (260, 320, 450)	0
(0, 260, 450), (0, 280, 450), (110, 300, 410)	0
(0, 110, 260), (280, 300, 410), (320, 320, 450)	0
(110, 259, 410), (260, 320, 450), (280, 300, 320)	0
(0, 0, 280), (110, 300, 450), (259, 320, 410)	0
(0, 0, 410), (110, 300, 450), (260, 280, 450)	0
(0, 280, 450), (0, 320, 320), (260, 300, 410)	0
(0, 0, 110), (260, 280, 450), (300, 320, 410)	0
(0, 110, 260), (0, 280, 450), (259, 300, 410)	0
(0, 0, 300), (110, 259, 450), (260, 320, 410)	0
(0, 0, 450), (110, 320, 410), (259, 260, 450)	0
(0, 259, 450), (0, 280, 410), (110, 260, 300)	0
(0, 260, 450), (110, 300, 410), (259, 280, 450)	0
(0, 110, 260), (0, 300, 450), (320, 320, 410)	0
(0, 259, 450), (0, 260, 320), (110, 300, 410)	0
(0, 259, 450), (110, 410, 450), (260, 300, 320)	0
(0, 0, 260), (110, 300, 410), (259, 320, 450)	0
(0, 0, 410), (110, 300, 450), (259, 260, 450)	0
(0, 0, 110), (280, 320, 450), (300, 320, 410)	0
(0, 110, 300), (0, 410, 450), (259, 260, 450)	0
(0, 280, 450), (110, 320, 410), (260, 300, 320)	0
(0, 280, 450), (110, 260, 320), (259, 320, 410)	0
(0, 259, 260), (0, 450, 450), (300, 320, 410)	0
(0, 259, 410), (110, 320, 450), (260, 280, 320)	0
(0, 259, 320), (0, 280, 450), (110, 260, 410)	0
(0, 110, 410), (259, 280, 320), (260, 320, 450)	0
(0, 0, 110), (259, 320, 450), (280, 320, 450)	0
(0, 110, 260), (259, 320, 410), (300, 320, 450)	0
(0, 110, 410), (0, 280, 300), (320, 320, 450)	0
(0, 110, 410), (0, 450, 450), (260, 280, 300)	0
(0, 110, 450), (0, 280, 450), (259, 300, 320)	0
(110, 450, 450), (259, 260, 300), (320, 320, 410)	0
(259, 300, 410), (260, 320, 450), (280, 320, 450)	0
(0, 110, 450), (259, 260, 410), (280, 320, 450)	0
(0, 260, 320), (0, 410, 450), (110, 300, 320)	0
(0, 259, 260), (0, 280, 410), (300, 320, 320)	0
(0, 320, 410), (259, 280, 450), (300, 320, 450)	0
(0, 110, 410), (0, 320, 450), (259, 300, 450)	0
(0, 300, 320), (259, 280, 450), (260, 320, 410)	0
(0, 300, 320), (110, 259, 320), (260, 280, 450)	0
(0, 259, 450), (0, 320, 320), (280, 300, 410)	0
(0, 320, 410), (110, 260, 300), (259, 320, 450)	0
(0, 260, 410), (110, 320, 320), (259, 280, 450)	0
(0, 259, 410), (110, 320, 450), (280, 320, 450)	0
(0, 110, 410), (0, 259, 450), (280, 320, 320)	0
(0, 0, 110), (280, 300, 450), (320, 320, 410)	0
(0, 110, 259), (0, 410, 450), (260, 320, 450)	0
(0, 410, 450), (110, 260, 320), (300, 320, 450)	0
(0, 259, 300), (0, 280, 450), (320, 320, 410)	0
(0, 110, 450), (0, 320, 450), (259, 260, 410)	0
(0, 110, 450), (260, 320, 450), (300, 320, 410)	0
(0, 259, 410), (0, 280, 450), (260, 320, 320)	0
(0, 260, 410), (0, 280, 450), (110, 300, 320)	0
(0, 0, 110), (259, 280, 450), (300, 320, 410)	0
(0, 0, 410), (259, 260, 280), (300, 320, 450)	0
(0, 260, 300), (110, 280, 320), (259, 320, 450)	0
(0, 259, 450), (260, 280, 450), (300, 320, 320)	0
(0, 0, 300), (110, 259, 450), (280, 320, 410)	0
(0, 260, 320), (0, 410, 450), (110, 280, 320)	0
(0, 110, 450), (0, 259, 300), (260, 320, 410)	0
(0, 259, 320), (0, 280, 450), (260, 300, 410)	0
(110, 260, 300), (259, 280, 450), (320, 320, 450)	0
(0, 280, 320), (110, 450, 450), (259, 260, 300)	0
(110, 410, 450), (259, 320, 320), (260, 300, 450)	0
(0, 259, 320), (110, 280, 450), (260, 300, 320)	0
(0, 110, 320), (0, 259, 450), (260, 280, 410)	0
(0, 260, 280), (110, 320, 450), (300, 320, 410)	0
(110, 259, 450), (260, 320, 320), (280, 300, 410)	0
(0, 0, 110), (259, 260, 450), (280, 300, 410)	0
(0, 320, 410), (110, 259, 450), (260, 280, 300)	0
(0, 450, 450), (259, 320, 410), (260, 280, 320)	0
(0, 300, 410), (110, 320, 320), (259, 260, 280)	0
(0, 260, 320), (0, 280, 410), (300, 320, 450)	0
(110, 300, 320), (259, 320, 450), (260, 280, 450)	0
(0, 280, 450), (110, 410, 450), (259, 300, 320)	0
(0, 0, 300), (110, 260, 450), (259, 280, 410)	0
(0, 259, 320), (0, 300, 410), (110, 450, 450)	0
(0, 260, 300), (110, 259, 450), (280, 320, 320)	0
(0, 0, 259), (260, 280, 450), (300, 320, 410)	0
(0, 450, 450), (110, 300, 320), (259, 280, 320)	0
(0, 260, 280), (0, 320, 410), (110, 300, 450)	0
(0, 0, 450), (110, 259, 300), (280, 320, 410)	0
(0, 280, 300), (0, 450, 450), (110, 259, 320)	0
(0, 110, 410), (0, 280, 320), (259, 320, 450)	0
(0, 280, 450), (110, 320, 450), (259, 260, 320)	0
(0, 110, 410), (259, 260, 300), (280, 320, 320)	0
(0, 110, 450), (0, 320, 410), (260, 300, 320)	0
(0, 0, 410), (110, 280, 450), (259, 300, 450)	0
(0, 260, 410), (0, 320, 450), (259, 280, 300)	0
(0, 260, 450), (259, 300, 410), (280, 320, 450)	0
(0, 280, 450), (0, 320, 320), (110, 300, 450)	0
(0, 320, 450), (0, 410, 450), (259, 260, 300)	0
(0, 259, 450), (110, 320, 450), (280, 320, 410)	0
(0, 320, 450), (110, 259, 260), (280, 320, 450)	0
(0, 450, 450), (110, 259, 260), (320, 320, 410)	0
(0, 0, 450), (110, 320, 450), (259, 300, 410)	0
(0, 259, 450), (0, 320, 450), (110, 260, 410)	0
(0, 260, 320), (110, 300, 320), (259, 280, 450)	0
(0, 260, 410), (110, 320, 450), (259, 300, 450)	0
(0, 0, 450), (259, 300, 410), (260, 320, 320)	0
(0, 0, 320), (110, 259, 450), (260, 300, 450)	0
(0, 0, 450), (110, 280, 450), (320, 320, 410)	0
(0, 410, 450), (110, 320, 450), (259, 300, 320)	0
(259, 320, 450), (260, 320, 410), (280, 300, 450)	0
(0, 320, 410), (0, 320, 450), (260, 300, 450)	0
(0, 280, 320), (110, 259, 450), (260, 300, 320)	0
(0, 0, 450), (110, 320, 410), (259, 280, 320)	0
(0, 320, 450), (259, 300, 320), (260, 280, 450)	0
(0, 0, 110), (260, 280, 450), (320, 320, 410)	0
(0, 110, 450), (0, 320, 410), (259, 300, 320)	0
(0, 320, 450), (259, 260, 410), (280, 300, 320)	0
(0, 280, 450), (110, 260, 320), (259, 300, 410)	0
(0, 0, 450), (110, 320, 410), (259, 260, 280)	0
(0, 0, 450), (259, 260, 300), (280, 320, 410)	0
(0, 0, 280), (259, 320, 410), (260, 320, 450)	0
(0, 0, 320), (259, 300, 450), (260, 280, 450)	0
(0, 110, 450), (259, 300, 450), (260, 320, 410)	0
(0, 280, 320), (0, 320, 450), (110, 300, 410)	0
(0, 110, 280), (0, 300, 450), (259, 320, 450)	0
(0, 280, 410), (110, 259, 320), (260, 320, 450)	0
(0, 259, 450), (0, 280, 320), (110, 320, 410)	0
(0, 280, 410), (110, 260, 320), (259, 320, 450)	0
(0, 110, 450), (0, 260, 410), (259, 280, 320)	0
(0, 110, 320), (0, 280, 450), (260, 320, 450)	0
(0, 259, 260), (110, 320, 450), (280, 320, 450)	0
(0, 259, 280), (0, 320, 410), (110, 450, 450)	0
(0, 260, 410), (0, 450, 450), (280, 300, 320)	0
(0, 450, 450), (110, 259, 410), (280, 320, 320)	0
(0, 0, 450), (110, 259, 320), (300, 320, 450)	0
(0, 280, 300), (110, 410, 450), (259, 320, 320)	0
(0, 110, 259), (0, 300, 450), (280, 320, 450)	0
(110, 320, 410), (259, 320, 450), (260, 300, 450)	0
(0, 259, 280), (110, 260, 410), (300, 320, 320)	0
(0, 259, 410), (110, 280, 320), (260, 300, 320)	0
(0, 280, 320), (0, 320, 450), (110, 260, 450)	0
(0, 410, 450), (259, 260, 300), (320, 320, 450)	0
(110, 280, 410), (259, 260, 450), (300, 320, 450)	0
(0, 300, 450), (0, 320, 410), (259, 260, 280)	0
(0, 0, 260), (110, 450, 450), (280, 320, 410)	0
(0, 110, 410), (0, 450, 450), (280, 320, 320)	0
(0, 259, 300), (0, 410, 450), (110, 320, 320)	0
(0, 280, 320), (110, 259, 410), (300, 320, 450)	0
(0, 0, 110), (260, 300, 450), (320, 320, 410)	0
(0, 110, 259), (260, 300, 450), (320, 320, 450)	0
(0, 280, 450), (0, 300, 320), (110, 260, 410)	0
(110, 280, 450), (260, 300, 410), (320, 320, 450)	0
(0, 259, 410), (0, 260, 320), (110, 320, 450)	0
(0, 110, 320), (0, 450, 450), (259, 280, 320)	0
(0, 300, 410), (110, 259, 320), (280, 320, 450)	0
(0, 0, 410), (110, 260, 450), (259, 300, 320)	0
(0, 260, 280), (259, 320, 410), (300, 320, 450)	0
(0, 300, 320), (110, 259, 450), (260, 280, 320)	0
(0, 259, 320), (0, 450, 450), (110, 260, 410)	0
(0, 320, 320), (0, 410, 450), (259, 260, 300)	0
(0, 0, 300), (110, 450, 450), (259, 260, 320)	0
(0, 0, 110), (260, 300, 450), (320, 320, 450)	0
(0, 260, 450), (110, 320, 320), (280, 300, 450)	0
(0, 0, 410), (259, 280, 300), (320, 320, 450)	0
(0, 300, 320), (0, 450, 450), (110, 259, 280)	0
(0, 259, 450), (280, 300, 450), (320, 320, 410)	0
(0, 259, 320), (0, 260, 450), (300, 320, 450)	0
(0, 320, 450), (259, 280, 300), (260, 320, 450)	0
(0, 300, 410), (110, 259, 450), (280, 320, 320)	0
(0, 300, 410), (259, 260, 450), (280, 320, 320)	0
(0, 0, 260), (259, 300, 410), (280, 320, 320)	0
(0, 110, 450), (0, 320, 450), (259, 320, 410)	0
(0, 259, 450), (260, 320, 450), (280, 300, 410)	0
(0, 450, 450), (259, 280, 410), (260, 300, 320)	0
(0, 260, 450), (0, 320, 410), (259, 280, 320)	0
(0, 110, 300), (0, 259, 450), (260, 320, 450)	0
(0, 300, 320), (0, 320, 410), (259, 260, 450)	0
(0, 110, 450), (0, 260, 450), (259, 280, 410)	0
(0, 450, 450), (110, 259, 320), (260, 280, 300)	0
(0, 259, 280), (110, 320, 410), (260, 300, 450)	0
(0, 320, 410), (110, 300, 450), (260, 320, 450)	0
(0, 110, 450), (259, 320, 320), (260, 280, 410)	0
(0, 0, 410), (110, 320, 450), (260, 300, 450)	0
(0, 110, 320), (0, 280, 450), (259, 260, 410)	0
(0, 260, 450), (110, 259, 280), (320, 320, 450)	0
(0, 280, 410), (0, 300, 450), (260, 320, 320)	0
(0, 280, 410), (110, 320, 450), (260, 300, 320)	0
(0, 300, 320), (0, 410, 450), (110, 320, 450)	0
(0, 0, 410), (260, 320, 320), (280, 300, 450)	0
(0, 410, 450), (110, 260, 450), (280, 300, 320)	0
(0, 0, 450), (110, 259, 300), (280, 320, 450)	0
(0, 259, 300), (0, 450, 450), (110, 320, 320)	0
(0, 320, 450), (259, 260, 410), (280, 300, 450)	0
(0, 0, 320), (259, 320, 450), (260, 280, 410)	0
(0, 0, 450), (259, 280, 320), (260, 300, 450)	0
(0, 110, 300), (0, 450, 450), (259, 320, 320)	0
(0, 0, 280), (110, 260, 410), (300, 320, 450)	0
(0, 110, 320), (259, 300, 410), (260, 280, 320)	0
(0, 0, 280), (110, 259, 450), (260, 300, 410)	0
(0, 0, 450), (259, 260, 280), (300, 320, 410)	0
(0, 259, 450), (0, 260, 410), (110, 320, 450)	0
(0, 259, 450), (110, 280, 320), (300, 320, 410)	0
(0, 0, 450), (259, 280, 300), (320, 320, 410)	0
(0, 0, 110), (259, 260, 450), (320, 320, 410)	0
(259, 300, 410), (260, 280, 450), (320, 320, 450)	0
(0, 259, 450), (110, 300, 450), (320, 320, 410)	0
(0, 259, 280), (0, 300, 410), (260, 320, 450)	0
(0, 320, 410), (110, 260, 450), (259, 280, 300)	0
(0, 320, 320), (0, 410, 450), (110, 259, 260)	0
